license_plate,date_of_purchase,status,state_of_charge,electric_capacity,seat_capacity
DE-7822,2013-08-02,In Depot,,222,22
DE-6586,2019-08-17,In Depot,,150,58
BC-4186,2012-01-16,In Maintenance,,364,40
DE-1911,2012-07-28,In Maintenance,,199,49
HI-8327,2012-10-15,In Depot,,388,44
AB-9239,2019-09-29,In Maintenance,,143,47
FG-1931,2017-02-16,In Depot,,246,55
AB-6598,2019-05-01,In Maintenance,,110,53
BC-6183,2013-04-08,In Maintenance,,348,56
DE-4839,2015-09-16,In Depot,,150,24
DE-2829,2019-03-18,In Maintenance,,185,42
BC-2130,2021-10-08,In Depot,,274,20
FG-8341,2017-04-05,In Route,,122,56
BC-5122,2017-05-23,In Depot,,358,21
HI-1403,2011-09-22,In Maintenance,,248,34
BC-8039,2013-01-18,In Route,,124,42
DE-9729,2016-01-29,In Depot,,126,51
DE-8081,2022-08-19,In Depot,,173,47
HI-8727,2013-07-08,In Route,,342,41
DE-9188,2018-01-06,In Route,,130,40
BC-5086,2013-08-07,In Route,,268,44
DE-6787,2012-11-01,In Route,,157,30
DE-8159,2018-06-21,In Depot,,337,27
AB-2213,2013-03-08,In Route,,387,24
DE-9836,2015-06-22,In Depot,,229,51
HI-1118,2016-02-13,In Maintenance,,386,30
HI-9262,2021-09-13,In Depot,,216,44
FG-1500,2010-09-18,In Depot,,384,34
DE-7317,2017-06-03,In Maintenance,,228,22
AB-4974,2013-05-16,In Maintenance,,318,29
FG-8835,2017-06-11,In Depot,,286,29
BC-2878,2012-02-09,In Maintenance,,250,56
FG-7094,2012-04-05,In Route,,292,38
DE-6154,2016-02-04,In Maintenance,,383,49
AB-3633,2020-06-03,In Route,,187,55
HI-1284,2018-02-15,In Route,,338,47
AB-3207,2018-06-08,In Route,,277,22
FG-4170,2018-02-28,In Depot,,157,46
AB-4343,2013-09-15,In Depot,,392,34
HI-2731,2010-07-18,In Maintenance,,106,59
HI-2485,2020-02-28,In Route,,331,24
DE-3960,2013-09-28,In Route,,142,27
AB-7175,2014-08-30,In Depot,,337,52
FG-9779,2016-06-12,In Depot,,338,34
AB-4412,2013-08-17,In Depot,,373,41
HI-9957,2017-01-12,In Depot,,116,31
FG-8847,2016-08-28,In Maintenance,,194,55
AB-7240,2015-10-16,In Depot,,194,38
AB-3620,2022-10-29,In Route,,355,39
AB-1403,2022-09-21,In Maintenance,,150,56
FG-1048,2011-11-13,In Depot,,172,38
AB-2148,2013-08-26,In Depot,,124,38
HI-4950,2018-11-10,In Route,,186,27
DE-7289,2013-10-08,In Depot,,134,58
HI-3696,2021-11-01,In Maintenance,,184,27
DE-4203,2022-12-26,In Depot,,287,48
AB-6126,2019-05-12,In Route,,150,24
FG-2277,2016-03-02,In Depot,,396,42
FG-2744,2019-12-09,In Depot,,223,32
FG-4247,2022-09-04,In Depot,,286,33
BC-4742,2010-06-13,In Depot,,195,60
BC-1558,2020-10-20,In Route,,215,37
AB-9531,2010-02-08,In Maintenance,,103,58
FG-6526,2020-07-19,In Route,,213,29
BC-7946,2013-06-29,In Depot,,166,53
HI-2033,2010-08-28,In Route,,187,54
HI-7438,2018-05-26,In Route,,212,49
FG-3378,2011-11-07,In Depot,,150,41
AB-7194,2013-05-10,In Depot,,364,31
FG-2710,2013-04-18,In Maintenance,,154,39
AB-6462,2021-10-12,In Maintenance,,345,25
FG-5100,2018-12-31,In Depot,,295,21
FG-6622,2012-03-11,In Route,,391,27
DE-8667,2012-02-22,In Maintenance,,239,42
HI-8489,2019-07-05,In Maintenance,,106,38
DE-5106,2017-01-09,In Maintenance,,211,60
HI-5419,2014-06-19,In Maintenance,,366,21
HI-2509,2013-08-29,In Depot,,140,37
BC-6835,2010-02-03,In Depot,,257,30
HI-9289,2019-06-15,In Maintenance,,294,48
AB-9853,2018-08-07,In Depot,,357,56
BC-3383,2021-06-28,In Depot,,298,59
DE-7736,2017-01-09,In Depot,,252,38
HI-2147,2021-09-17,In Maintenance,,288,27
FG-2322,2014-02-21,In Route,,177,24
BC-8680,2021-03-22,In Route,,288,32
AB-1750,2016-10-29,In Maintenance,,187,48
HI-6281,2020-11-08,In Route,,312,43
HI-9333,2020-05-06,In Depot,,133,36
HI-9909,2014-05-07,In Route,,188,50
HI-7733,2018-08-29,In Maintenance,,285,55
FG-4788,2021-03-18,In Route,,327,36
AB-1555,2013-05-05,In Depot,,358,20
AB-2900,2019-03-13,In Maintenance,,359,55
BC-8723,2022-01-03,In Maintenance,,172,48
AB-9486,2014-05-04,In Depot,,390,58
AB-4822,2019-01-03,In Route,,325,59
FG-8830,2013-11-06,In Route,,143,29
FG-1202,2019-08-01,In Maintenance,,154,49
BC-8302,2013-11-28,In Maintenance,,370,28
